Ingredient,Type,Purpose,Skin Type
Rosa Damascena Flower Water,Floral Water,"Hydrating, soothing","sensitive,dry"
Rosa Alba Flower Extract,Plant Extract,"Soothing, antioxidant","sensitive,dry"
Rosa Rubiginosa Seed Oil,Plant Oil,"Anti-aging, moisturizing","sensitive,dry"
Vitis Vinifera (Grape) Seed Oil,Plant Oil,"Antioxidant, moisturizing",all skin types
Arachidyl Alcohol,Fatty Alcohol,"Emollient, emulsifier",all skin types
Myristyl Alcohol,Fatty Alcohol,"Emollient, emulsifier",all skin types
Behenyl Alcohol,Fatty Alcohol,"Emollient, emulsifier",all skin types
Myristyl Glucoside,Glycoside,"Emulsifier, cleanser",all skin types
Arachidyl Glucoside,Glycoside,"Emulsifier, skin conditioning",all skin types
Aniba Rosaeodora (Rosewood) Wood Oil,Essential Oil,"Soothing, aromatic","sensitive,dry"
Rosa Damascena Flower Oil,Essential Oil,"Fragrance, soothing, anti-aging","sensitive,dry"
Lactic Acid,Alpha-Hydroxy Acid (AHA),"Exfoliating, skin conditioning","dry,sensitive"
Benzyl Benzoate,Ester,"Fragrance, solvent",all skin types
Citronellol,Alcohol,"Fragrance, skin soothing","sensitive,dry"
Geraniol,Alcohol,"Fragrance, antioxidant","sensitive,dry"
Limonene,Terpene,"Fragrance, antioxidant","sensitive,dry"
Linalol,Alcohol,"Fragrance, soothing","sensitive,dry"
Carthamus Tinctorius (Safflower) Seed Oil,Plant Oil,"Moisturizing, soothing","sensitive,dry"
Caprylic/Capric Triglyceride,Plant-derived Oil,"Emollient, moisturizing",all skin types
Biosaccharide Gum-1,Sugar-derived Polymer,"Moisturizing, soothing",all skin types
Tetrahexyldecyl Ascorbate,Vitamin C Derivative,"Antioxidant, brightening, anti-aging",all skin types
Algae Extract,Plant Extract,"Hydrating, anti-aging",all skin types
Mentha Piperita (Peppermint) Oil,Essential Oil,"Cooling, refreshing","oily,acne-prone"
Frankincense Oil Extract,Essential Oil,"Anti-aging, soothing","dry,sensitive"
Mugwort (Artemesia Vulgaris) Extract,Plant Extract,"Soothing, calming","sensitive,irritated"
Retinyl Palmitate,Vitamin A Derivative,"Anti-aging, skin renewal","mature,sensitive"
Polyglyceryl-6 Distearate,Surfactant/Emulsifier,"Emulsifying, stabilizing",all skin types
Hydrogenated Ethylhexyl Olivate,Ester/Emollient,"Moisturizing, softening","dry,sensitive"
C10-18 Triglycerides,Plant-derived Oil,"Emollient, moisturizing",all skin types
Caffeine,Active Ingredient,"Anti-inflammatory, energizing, anti-aging",all skin types
Microcrystalline Cellulose,Thickener,"Texturizing, stabilizing",all skin types
Cellulose Gum,Thickener/Emulsifier,"Stabilizing, texturizing",all skin types
Sodium Phytate,Chelating Agent,"Stabilizing, preserving",all skin types
Octyldodecanol,Fatty Alcohol/Emollient,"Emollient, skin conditioning",all skin types
Polyglyceryl-3 Dicitrate/Stearate,Surfactant/Emulsifier,"Emulsifying, stabilizing",all skin types
Coco-Caprylate,Ester/Emollient,"Moisturizing, emollient","dry,sensitive"
Sodium Dehydroacetate,Preservative,"Preserving, antimicrobial",all skin types
Sodium Stearoyl Glutamate,Emulsifier/Surfactant,"Stabilizing, emulsifying",all skin types
Helianthus Annuus Seed Oil,Plant Oil,"Moisturizing, emollient",all skin types
Purslane Extract,Plant Extract,"Antioxidant, anti-inflammatory, soothing","sensitive,dry"
Skullcap,Plant Extract,"Anti-inflammatory, calming, antioxidant",sensitive
Corn Oil,Plant Oil,"Moisturizing, antioxidant","dry,sensitive"
Heptyl Undecylenate,Ester,"Emollient, skin-conditioning, smoothing","dry,sensitive"
Polyglyceryl-2 Stearate,Ester,"Emulsifying, stabilizing",all skin types
Citrus Aurantium Amara Flower Water,Plant Extract,"Toner, soothing, antioxidant","sensitive,oily"
Ferulic Acid,Antioxidant,"Anti-aging, antioxidant, stabilizing",all skin types
Hydrolyzed Hyaluronic Acid,Moisturizer,"Deep hydration, anti-aging","dry,aging skin"
Origanum Majorana Leaf Extract,Plant Extract,"Antioxidant, anti-inflammatory, antimicrobial","sensitive,acne-prone"
Maltodextrin,Carbohydrate,"Skin conditioning, texturizer",all skin types
Oryza Sativa Starch,Plant Starch,"Absorbent, soothing","oily,acne-prone"
C12-15 Alkyl Benzoate,Ester,"Emollient, solvent","dry,sensitive"
Hydroxyethyl Urea,Humectant,"Moisturizing, skin conditioning","dry,sensitive"
Ethylhexyl Methoxycinnamate,Active Ingredient,"UV filter, sunscreen agent",all skin types
Sodium Acrylate/Acryloyldimethyl Taurate Copolymer,Polymer,"Thickener, stabilizer",all skin types
Isohexadecane,Hydrocarbon,"Emollient, solvent","oily,acne-prone"
Polysorbate 80,Surfactant,"Emulsifying, solubilizing",all skin types
Hydroxypropyl Cyclodextrin,Cyclodextrin,"Stabilizer, encapsulating agent",all skin types
Palmitoyl Tripeptide-38,Peptide,"Anti-aging, skin rejuvenation","mature,dry"
Palmitoyl Dipeptide-5 Diaminobutyroyl Hydroxythreonine,Peptide,"Anti-aging, collagen synthesis stimulation",mature skin
Palmitoyl Dipeptide-6 Diaminohydroxybutyrate,Peptide,"Skin rejuvenation, anti-aging",mature skin
Phenethyl Alcohol,Alcohol,"Preservative, fragrance",all skin types
Caprylyl Glycol,Glycol,"Moisturizing, skin conditioning","dry,sensitive"
Ethylhexyl-Glycerin,Glycol,"Preservative, skin conditioning",all skin types
Resveratrol,Polyphenol,"Antioxidant, anti-aging","sensitive,mature skin"
Coenzyme Q10 (Ubiquinone),Antioxidant,"Skin repair, anti-aging","mature,dry"
Acai Extract (Euterpe Oleracea Fruit Extract),Fruit Extract,"Antioxidant, skin conditioning",all skin types
White Tea Extract (Camellia Sinensis Extract),Tea Extract,"Antioxidant, soothing","sensitive,dry"
Pomegranate Seed Extract (Punica Granatum Seed Extract),Fruit Extract,"Antioxidant, anti-aging",all skin types
Tocotrienol (Vitamin E),Vitamin,"Antioxidant, anti-aging",all skin types
Lime Extract (Citrus Aurantifolia Extract),Citrus Extract,"Brightening, antioxidant","oily,acne-prone"
Di-C12-15 Alkyl Fumarate,Emollient,"Provides smooth texture, softens skin",all skin types
Glycerin,Humectant,"Retains moisture, hydrates skin","dry,sensitive skin"
Squalane,Emollient,Moisturizes and softens skin,all skin types
Cetyl Ethylhexanoate,Emollient,Provides smooth application,all skin types
Myristyl Myristate,Emollient,"Enhances texture, softens skin",all skin types
Butyrospermum Parkii (Shea) Butter,Occlusive/Emollient,"Deeply moisturizes, soothes skin","dry,sensitive skin"
Propanediol,Humectant,"Retains moisture, enhances absorption",all skin types
Phytosteryl/Octyldodecyl Lauroyl Glutamate,Emollient,Enhances texture and hydration,all skin types
Steareth-2,Surfactant,"Emulsifies, improves formulation stability",all skin types
Magnesium Aluminum Silicate,Thickener,"Improves texture, stabilizes formulations",all skin types
Panthenol,Pro-vitamin,"Hydrates, soothes, and repairs skin",all skin types
Synthetic Wax,Thickener/Film-former,"Enhances texture, creates a protective layer",all skin types
"1,2-Hexanediol",Solvent,"Hydrates, enhances formulation stability",all skin types
Adenosine,Anti-aging agent,Reduces fine lines and wrinkles,all skin types
Beta-Carotene,Antioxidant,Protects skin from oxidative stress,all skin types
Beta-Glucan,Soothing agent,Calms and moisturizes skin,sensitive skin
Cocos Nucifera (Coconut) Oil,Emollient,Moisturizes and softens,"dry,sensitive skin"
Daucus Carota Sativa (Carrot) Root Extract,Antioxidant,Protects and nourishes skin,all skin types
Sodium Hyaluronate,Humectant,"Retains moisture, plumps skin",all skin types
Niacinamide,Vitamin (B3),"Brightens skin, reduces inflammation",all skin types
Cetyl Alcohol,Emollient/Stabilizer,"Softens skin, thickens formulations",all skin types
Isopropyl Myristate,Emollient,"Improves texture, enhances absorption",all skin types
Dimethicone,Silicone,"Smoothens texture, forms a protective barrier",all skin types
Cetearyl Ethylhexanoate,Emollient,Provides smooth application,all skin types
Caprylyl Glycol,Skin-conditioning agent,"Hydrates, enhances preservation",all skin types
Caffeine,Energizing agent,Reduces puffiness and dark circles,all skin types
Coffea Arabica (Coffee) Seed Extract,Antioxidant,Protects and revitalizes skin,all skin types
Ascorbyl Tetraisopalmitate,Vitamin C derivative,"Brightens skin, provides antioxidant protection",all skin types
Allantoin,Soothing agent,Calms and repairs skin,sensitive skin
Stearic Acid,Emulsifier,Stabilizes formulations,all skin types
Fragrance,Fragrance,Provides scent,all skin types (tolerance may vary)
Disodium EDTA,Chelating agent,Stabilizes formulation by binding metals,all skin types
Saccharide Isomerate,Humectant,"Binds water, enhances hydration","dry,sensitive skin"
Citric Acid,pH adjuster,"Balances pH, promotes skin renewal",all skin types
Sodium Citrate,Buffering agent,Balances pH,all skin types
Phenylethyl Resorcinol,Skin-brightening agent,Reduces pigmentation,all skin types
Tocopheryl Acetate,Vitamin E derivative,"Antioxidant, moisturizes skin",all skin types
Lactic Acid,AHA (Exfoliant),"Gently exfoliates, hydrates","dry,sensitive skin"
Limonene,Fragrance component,Provides a citrus scent,all skin types (tolerance may vary)
Butylphenyl Methylpropional,Fragrance component,Provides scent,all skin types (tolerance may vary)
Hexyl Cinnamal,Fragrance component,Provides scent,all skin types (tolerance may vary)
Benzyl Salicylate,Fragrance component,Provides scent,all skin types (tolerance may vary)
Linalool,Fragrance component,Provides scent,all skin types (tolerance may vary)
Aqua,Solvent,Hydrates and dissolves ingredients,all skin types
Panthenol,Pro-vitamin B5,"Hydrates, soothes, and repairs skin",all skin types
Isopropyl Myristate,Emollient,"Enhances texture, softens skin",all skin types
Cyclopentasiloxane,Silicone,"Provides smooth texture, forms a protective layer",all skin types
Stearyl Alcohol,Emollient/Stabilizer,Softens and smoothens skin,all skin types
Potassium Cetyl Phosphate,Emulsifier,"Stabilizes formulations, enhances texture",all skin types
Lanolin,Emollient,Moisturizes and prevents water loss,"dry,sensitive skin"
Sorbitol,Humectant,"Hydrates skin, improves texture",all skin types
Alcohol,Solvent,"Enhances absorption, can act as an astringent",all skin types
Ascorbyl Palmitate,Vitamin C derivative,"Brightens skin, provides antioxidant protection",all skin types
Bisabolol,Soothing agent,Calms and repairs irritated skin,sensitive skin
Borago Officinalis Seed Oil,Emollient,Moisturizes and repairs skin,"dry,sensitive skin"
Caprylic Acid,Fatty acid,Moisturizes and softens the skin,all skin types
Retinyl Palmitate,Vitamin A derivative,"Reduces wrinkles, promotes skin renewal",all skin types
Sodium Ascorbyl Phosphate,Vitamin C derivative,"Brightens skin, provides antioxidant protection",all skin types
Butyrospermum Parkii Butter,Emollient/Occlusive,"Deeply moisturizes, soothes skin","dry,sensitive skin"
Octyldodecanol,Emollient,Softens and smoothens skin,all skin types
Glyceryl Stearate Citrate,Emulsifier,"Stabilizes emulsions, improves texture",all skin types
Cocoglycerides,Emollient,Moisturizes and nourishes the skin,all skin types
Dicaprylyl Ether,Emollient,"Softens skin, improves texture",all skin types
Cetearyl Alcohol,Emollient/Stabilizer,"Softens skin, thickens formulations",all skin types
Glyceryl Stearate,Emulsifier/Emollient,"Softens skin, stabilizes formulations",all skin types
Glyceryl Linoleate,Emollient,"Moisturizes, improves skin texture",all skin types
Glyceryl Oleate,Emollient,Softens and nourishes skin,all skin types
Glyceryl Linolenate,Emollient,Hydrates and protects skin,all skin types
Cetearyl Dimethicone Crosspolymer,Silicone,"Provides smooth texture, enhances skin feel",all skin types
Sophora Japonica Flower Extract,Antioxidant/Soothing,"Calms, repairs, and protects skin",all skin types
Camellia Oleifera Seed Oil,Emollient,Moisturizes and nourishes skin,"dry,sensitive skin"
Ubiquinone,Antioxidant,Protects skin from oxidative stress,all skin types
Silk Amino Acids,Moisturizing agent,Moisturizes and softens skin,"dry,sensitive skin"
Helianthus Annuus Seed Oil,Emollient,Moisturizes and nourishes skin,all skin types
Sodium Stearoyl Glutamate,Emulsifier,Stabilizes formulations,all skin types
Xanthan Gum,Thickener/Gelling agent,Stabilizes and thickens formulations,all skin types
Benzyl Alcohol,Preservative,Prevents microbial growth,all skin types
Ethylhexylglycerin,Skin-conditioning agent,Hydrates and enhances preservation,all skin types
Parfum,Fragrance,Provides scent,all skin types (tolerance may vary)
CI 42051,Colorant,Adds color to product,all skin types
CI 14720,Colorant,Adds color to product,all skin types
Ethylhexyl Stearate,Emollient,"Softens skin, improves texture",all skin types
Stearic Acid,Emulsifier,"Stabilizes formulations, enhances texture",all skin types
Paraffinum Liquidum,Occlusive,"Locks in moisture, prevents water loss","dry,sensitive skin"
Cedar Wood Resin,Skin-conditioning agent,Soothes and calms the skin,all skin types
Juglans Regia Seed Oil,Emollient,Nourishes and softens skin,"dry,sensitive skin"
Sulfur,Anti-acne/Exfoliant,"Controls acne, exfoliates","oily,acne-prone skin"
Polysorbate 80,Emulsifier,Stabilizes emulsions,all skin types
PEG-100 Stearate,Emulsifier,"Stabilizes formulations, improves texture",all skin types
Acrylates/C10-30 Alkyl Acrylate Crosspolymer,Thickener/Film-former,"Improves texture, stabilizes formulations",all skin types
Sodium Hydroxide,pH adjuster,"Balances pH, stabilizes formulations",all skin types
Methylparaben,Preservative,Prevents microbial growth,all skin types
Ethylparaben,Preservative,Prevents microbial growth,all skin types
Propylparaben,Preservative,Prevents microbial growth,all skin types
Butylparaben,Preservative,Prevents microbial growth,all skin types
Aloe Barbadensis Juice,Soothing agent,Calms and hydrates the skin,"sensitive,dry"
Persea Gratissima (Avocado) Oil,Emollient,Nourishes and softens the skin,"dry,sensitive skin"
Polysorbate 60,Emulsifier,"Stabilizes emulsions, enhances texture",all skin types
Limnanthes Alba (Meadowfoam) Seed Oil,Emollient,"Softens, moisturizes, and nourishes skin","dry,sensitive skin"
Ascorbyl Palmitate (Vitamin C Ester),Antioxidant,Brightens and protects skin from free radicals,all skin types
Niacinamide (Vitamin B),Anti-inflammatory,"Reduces redness, evens skin tone",all skin types
Beta-Carotene (Pro Vitamin A),Antioxidant,"Protects skin from damage, promotes repair",all skin types
Hyaluronic Acid,Humectant,"Retains moisture, plumps skin","dry,sensitive skin"
Tocopherol (Vitamin E),Antioxidant,"Protects from oxidative damage, moisturizes skin",all skin types
Vaccinium Macrocarpon (Cranberry) Fruit Extract,Antioxidant,"Protects skin from free radicals, soothes",all skin types
Citrus Aurantium Dulcis (Orange) Fruit Extract,Antioxidant/Exfoliant,"Brightens, tones, and refreshes skin",all skin types
Citrus Limon (Lemon) Fruit Extract,Antioxidant/Exfoliant,"Brightens skin, controls oiliness","oily,combination"
Lecithin,Emulsifier,Stabilizes and nourishes skin,all skin types
Punica Granatum (Pomegranate) Fruit Extract,Antioxidant,Protects and rejuvenates skin,all skin types
Retinyl Palmitate (Vitamin A),Anti-aging,"Reduces wrinkles, promotes skin renewal",all skin types
Calcium Pantothenate,Pro-vitamin B5,"Hydrates, soothes, and promotes healing",all skin types
Dimethylaminoethanol Tartrate (DMAE),Firming agent,Tightens and firms skin,all skin types
Thioctic Acid,Antioxidant,"Protects from oxidative damage, improves skin tone",all skin types
Daucus Carota Sativa (Carrot) Seed Oil,Emollient,Moisturizes and nourishes skin,"dry,sensitive skin"
Rosa Damascena (Rose) Flower Water,Soothing agent,"Hydrates, soothes, and refreshes the skin",sensitive skin
Caprylic/Capric Triglyceride,Emollient,Softens and smoothens skin,all skin types
Propylene Glycol Dicaprylate/Dicaprate,Emollient,Moisturizes and softens skin,all skin types
Behenyl Alcohol,Emollient/Stabilizer,Softens and stabilizes formulations,all skin types
Butyrospermum Parkii (Shea) Butter,Emollient,Moisturizes and nourishes the skin,"dry,sensitive skin"
Propanediol,Solvent,"Enhances formulation stability, hydrates skin",all skin types
Glyceryl Stearate,Emulsifier,"Softens skin, stabilizes formulations",all skin types
Parfum (Fragrance),Fragrance,Provides scent,all skin types (tolerance may vary)
Glyceryl Polyacrylate,Emollient,"Hydrates, smoothens, and improves texture",all skin types
Stearyl Alcohol,Emollient/Stabilizer,Softens and stabilizes formulations,all skin types
Hydroxyacetophenone,Antioxidant,Protects skin from oxidative damage,all skin types
Phytosterols,Skin-conditioning agent,"Supports skin barrier, moisturizes",all skin types
Carbomer,Thickener,"Improves texture, stabilizes formulations",all skin types
